External URL, Name, Images, Sale price, Regular price, Categories, Type
"https://www.awin1.com/pclick.php?p=22597729239&a=525247&m=2832", "Under Armour Charged Controller Trainer Blue / Black", "https://www.footasylum.com/images/products/medium/106437.jpg", "59.99", 119.99, "Mens, Shoes", "simple"
"https://www.awin1.com/pclick.php?p=22191933581&a=525247&m=2832", "Sinners Attire Ripped Denim Short White", "https://www.footasylum.com/images/products/medium/106464.jpg", "14.99", 44.99, "Mens, Clothing", "simple"
"https://www.awin1.com/pclick.php?p=22058172571&a=525247&m=2832", "Condemned Nation Ramona Ottoman Detail Hooded Top Charcoal Marl", "https://www.footasylum.com/images/products/medium/106511.jpg", "14.99", 39.99, "Mens, Clothing", "simple"
"https://www.awin1.com/pclick.php?p=22883546615&a=525247&m=2832", "adidas Originals Trefoil Curved Visor Cap Navy/Navy", "https://www.footasylum.com/images/products/medium/106643.jpg", "7.99", 21.99, "Mens, Accessories", "simple"
"https://www.awin1.com/pclick.php?p=22838135175&a=525247&m=2832", "Asics Womens Gel Lyte Komachi Trainer Indigo Blue", "https://www.footasylum.com/images/products/medium/106808.jpg", "29.99", 69.99, "Ladies, Shoes and Bags", "simple"
"https://www.awin1.com/pclick.php?p=3765777483&a=525247&m=2832", "Gel-Kayano EVO Trainer Birch / Birch", "https://www.footasylum.com/images/products/medium/106847.jpg", "34.99", 74.99, "Mens, Shoes", "simple"
"https://www.awin1.com/pclick.php?p=22064374247&a=525247&m=2832", "Y-3 Future Low Trainer White / Black", "https://www.footasylum.com/images/products/medium/107358.jpg", "129.99", 269.99, "Uncategorized", "simple"
"https://www.awin1.com/pclick.php?p=22518103323&a=525247&m=2832", "Nike Tech Knit Jacket Legion Green", "https://www.footasylum.com/images/products/medium/107402.jpg", "64.99", 164.99, "Mens, Clothing", "simple"
"https://www.awin1.com/pclick.php?p=3792287589&a=525247&m=2832", "Chuck Taylor All Star II Hi Trainer Herbal Green / Gum", "https://www.footasylum.com/images/products/medium/107550.jpg", "29.99", 59.99, "Mens, Shoes", "simple"
"https://www.awin1.com/pclick.php?p=3619321027&a=525247&m=2832", "Sixth June Acid Wash Ripped Denim Jean Grey", "https://www.footasylum.com/images/products/medium/107580.jpg", "9.99", 39.99, "Mens, Clothing", "simple"
"https://www.awin1.com/pclick.php?p=21976638949&a=525247&m=2832", "New Balance MRL420 Mesh Trainer Black / Black / White", "https://www.footasylum.com/images/products/medium/107679.jpg", "24.99", 59.99, "Mens, Shoes", "simple"
"https://www.awin1.com/pclick.php?p=5596842381&a=525247&m=2832", "New Balance MRT580 Reflective Trainer Black / White", "https://www.footasylum.com/images/products/medium/107683.jpg", "39.99", 109.99, "Mens, Shoes", "simple"
"https://www.awin1.com/pclick.php?p=22857950083&a=525247&m=2832", "New Balance MRT580 Reflective Trainer Silver / White", "https://www.footasylum.com/images/products/medium/107684.jpg", "29.99", 109.99, "Mens, Shoes", "simple"
"https://www.awin1.com/pclick.php?p=22194546987&a=525247&m=2832", "New Balance MRL996 Hybrid Trainer Grey / White", "https://www.footasylum.com/images/products/medium/107685.jpg", "29.99", 69.99, "Mens, Shoes", "simple"
"https://www.awin1.com/pclick.php?p=21945708387&a=525247&m=2832", "New Balance MRL247 Classic Trainer Black / White", "https://www.footasylum.com/images/products/medium/107698.jpg", "29.99", 69.99, "Mens, Shoes", "simple"
"https://www.awin1.com/pclick.php?p=21979080735&a=525247&m=2832", "Diadora V7000 Weave Trainer Dark Grey / Black", "https://www.footasylum.com/images/products/medium/107815.jpg", "39.99", 89.99, "Mens, Shoes", "simple"
"https://www.awin1.com/pclick.php?p=3875742647&a=525247&m=2832", "Womens Popcat Slide Sandal Pink", "https://www.footasylum.com/images/products/medium/107874.jpg", "9.99", 19.99, "Ladies, Shoes and Bags", "simple"
"https://www.awin1.com/pclick.php?p=22597729279&a=525247&m=2832", "Nicce Logo Swim Short Sky", "https://www.footasylum.com/images/products/medium/107904.jpg", "14.99", 31.99, "Mens, Clothing", "simple"
